"","Estimate","z.statistics","pvalue","Bf_adj_p"
"(Intercept)",-0.161004095169419,-4.31252039142471,1.61403990945444e-05,0.000129123192756355
"UTR3TRUE",-0.603316465841768,-29.1829029362925,3.1961767993665e-187,2.5569414394932e-186
"Start_codonsTRUE",0.667865515442054,44.6458142637691,0,0
"exonsTRUE",0.670054672640199,17.0663718404839,2.64111575176958e-65,2.11289260141567e-64
"Pos_UTR3",-0.347227221568326,-8.26189148623311,1.43382023673226e-16,1.14705618938581e-15
"Pos_CDS",0.889414403365616,41.6300804517886,0,0
"AGACATRUE",0.112926646975965,5.085205309818,3.67228604920403e-07,2.93782883936322e-06
"lncRNATRUE",-0.0879202684073836,-4.8415770770354,1.28812692420173e-06,1.03050153936139e-05
